feature,importance,rank,importance_pct
V258,504345.40617084503,1,16.51
V294,270759.59232908115,2,8.86
C13,228369.7550921701,3,7.48
C8,112564.33745574951,4,3.69
DeviceInfo,90569.19852542877,5,2.97
C1,83252.75140353665,6,2.73
day_of_dataset,66387.97915742546,7,2.17
card2,52031.492972031236,8,1.7
V30,51865.46985900402,9,1.7
D15,44108.82258954225,10,1.44
id_31,44082.82603645325,11,1.44
card1,41976.79093200213,12,1.37
p_email_tld,38471.444301605225,13,1.26
card1_addr1_n_unique,38206.299605861306,14,1.25
C5,37312.52149900794,15,1.22
D3,37126.887383461,16,1.22
V315,33211.742822647095,17,1.09
P_emaildomain,31656.549880981445,18,1.04
amt_to_P_emaildomain_mean_ratio,30726.089718170464,19,1.01
addr1,30709.124657213688,20,1.01
card5,29947.860542969196,21,0.98
D1,28897.765072852373,22,0.95
D2,27693.97324389941,23,0.91
email_match,26373.918601989746,24,0.86
id_30,24085.84483909607,25,0.79
R_emaildomain,23856.108486175537,26,0.78
id_33,23058.261320114136,27,0.75
TransactionAmt,22075.870889682323,28,0.72
vel_card1_7d_count,20527.303034399636,29,0.67
vel_card1_7d_mean_amt,20264.15834569931,30,0.66
V310,19811.09717941284,31,0.65
D4,19803.193169295788,32,0.65
D10,19147.718599690124,33,0.63
vel_addr1_7d_mean_amt,17537.11461530626,34,0.57
dist1,17236.023387908936,35,0.56
V129,16518.22422426939,36,0.54
C2,15996.479468643665,37,0.52
amt_to_addr1_mean_ratio,15822.170141912997,38,0.52
M5,15652.488182280213,39,0.51
C6,15118.644200623035,40,0.49
card6,14928.340543746948,41,0.49
amt_zscore_addr1,14103.107134507969,42,0.46
ProductCD,13941.12360572815,43,0.46
amt_zscore_card1,13743.00411090115,44,0.45
C14,13615.201951384544,45,0.45
vel_card1_7d_sum,13338.020054070395,46,0.44
C11,13072.94308257103,47,0.43
vel_addr1_24h_sum,13037.778670683503,48,0.43
vel_addr1_7d_count,12918.418937206268,49,0.42
C12,12421.93887526542,50,0.41
vel_addr1_7d_sum,12024.178473502398,51,0.39
vel_P_emaildomain_24h_mean_amt,11708.547315880656,52,0.38
V54,11508.652189167216,53,0.38
vel_P_emaildomain_7d_sum,11424.272401819937,54,0.37
M6,11105.57469616644,55,0.36
amt_cents,11103.141499603167,56,0.36
vel_addr1_24h_count,11054.330425929278,57,0.36
r_email_tld,10898.417766571045,58,0.36
amt_to_card1_mean_ratio,10830.15111025609,59,0.35
vel_P_emaildomain_24h_count,10435.963766939938,60,0.34
V187,10330.918022930622,61,0.34
DeviceType,10000.040119288038,62,0.33
card3,9791.086027145386,63,0.32
vel_P_emaildomain_1h_count,9729.734055683948,64,0.32
vel_card1_24h_count,9679.051140098833,65,0.32
vel_addr1_24h_mean_amt,9626.463095132262,66,0.32
vel_P_emaildomain_7d_mean_amt,9623.271006800234,67,0.32
V61,9438.965624332428,68,0.31
amt_zscore_P_emaildomain,9428.923236248083,69,0.31
vel_P_emaildomain_1h_mean_amt,9310.165153980255,70,0.3
vel_addr1_1h_mean_amt,9158.688107370283,71,0.3
vel_addr1_1h_sum,8695.384903535247,72,0.28
id_02,8529.341861547437,73,0.28
V208,8333.909912109375,74,0.27
V87,8325.559230804443,75,0.27
vel_P_emaildomain_7d_count,8298.792447328568,76,0.27
V296,8117.829402923584,77,0.27
vel_P_emaildomain_1h_sum,8114.5845268415,78,0.27
V307,8026.100834384561,79,0.26
vel_P_emaildomain_24h_sum,7764.477781265974,80,0.25
D8,7700.709818571806,81,0.25
D11,7676.965269088745,82,0.25
C9,7612.768324315548,83,0.25
D5,7358.185711789876,84,0.24
V67,7239.434661865234,85,0.24
V70,7092.082538923249,86,0.23
M4,7072.763701811433,87,0.23
hour_of_day,7045.356289569056,88,0.23
vel_card1_24h_sum,7010.582847636193,89,0.23
vel_card1_24h_mean_amt,7007.751527190208,90,0.23
V189,6806.57311630249,91,0.22
V157,6566.045443534851,92,0.21
V312,6469.022386729717,93,0.21
M3,6376.692489624023,94,0.21
V49,6358.147533433512,95,0.21
V82,6047.64093208313,96,0.2
V317,6013.107196398079,97,0.2
vel_addr1_1h_count,5985.173662781715,98,0.2
V45,5861.592730760574,99,0.19
V13,5805.261694192886,100,0.19
V75,5509.850309371948,101,0.18
V313,5464.689786911011,102,0.18
id_20,5383.834843218327,103,0.18
V91,5340.744679301977,104,0.17
card4,5150.110294342041,105,0.17
V62,5090.953743323684,106,0.17
V165,4995.62564977631,107,0.16
id_01,4922.2207053899765,108,0.16
V333,4801.311524748802,109,0.16
V76,4789.520983889699,110,0.16
V83,4640.784191131592,111,0.15
V20,3876.0100440979004,112,0.13
V271,3748.811580657959,113,0.12
V149,3720.065662384033,114,0.12
V314,3708.1318912506104,115,0.12
id_19,3378.633253931999,116,0.11
log1p_amt,3351.077805519104,117,0.11
V281,3294.471897125244,118,0.11
V285,3096.157020928338,119,0.1
card1_addr2_n_unique,3032.34996175766,120,0.1
V130,3005.483797311783,121,0.1
V156,2713.972183227539,122,0.09
id_06,2661.7922976017,123,0.09
V261,2648.7146282196045,124,0.09
V38,2584.09996509552,125,0.08
vel_card1_1h_sum,2485.6370925605297,126,0.08
D6,2406.9362201988697,127,0.08
id_09,2362.2338876724243,128,0.08
V12,2347.6756019592285,129,0.08
dist2,2319.0248358249664,130,0.08
V311,2305.8124771118164,131,0.08
V308,2281.765849210322,132,0.07
V320,2278.2023334503174,133,0.07
day_of_week,2196.9907734394073,134,0.07
V254,2143.1201171875,135,0.07
card1_addr1_is_mode,2064.711685180664,136,0.07
vel_card1_1h_count,2060.2422581911087,137,0.07
V37,2059.9396963119507,138,0.07
V201,1999.497154712677,139,0.07
email_tld_match,1988.661119878292,140,0.07
vel_card1_1h_mean_amt,1967.5914504528046,141,0.06
V217,1838.2758316993713,142,0.06
id_13,1830.2848436534405,143,0.06
V90,1778.3542641289532,144,0.06
id_05,1777.4413948059082,145,0.06
V78,1773.1399947404861,146,0.06
D9,1675.4154125452042,147,0.05
V244,1649.719913482666,148,0.05
V55,1609.8691902160645,149,0.05
V56,1577.3678407669067,150,0.05
id_18,1576.0284954360686,151,0.05
V53,1575.2287998199463,152,0.05
D14,1523.5402746200562,153,0.05
V86,1450.0443096160889,154,0.05
D13,1408.8659644126892,155,0.05
C3,1406.7617301940918,156,0.05
M9,1402.5584030151367,157,0.05
V136,1374.9650039672852,158,0.05
V19,1365.5722641944885,159,0.04
V35,1345.0269012451172,160,0.04
V127,1343.6035057604313,161,0.04
V7,1342.3916983604431,162,0.04
V48,1332.6828262209892,163,0.04
V96,1284.5997059494257,164,0.04
V36,1265.9752025604248,165,0.04
V139,1244.4642280023545,166,0.04
V282,1230.1612796783447,167,0.04
M8,1225.1852893829346,168,0.04
V77,1183.8882837295532,169,0.04
M7,1172.5956012010574,170,0.04
V44,1123.3566036522388,171,0.04
id_11,1083.9859066009521,172,0.04
V99,1074.8490198142827,173,0.04
V124,1056.9547996520996,174,0.03
V336,1044.2500267028809,175,0.03
V283,1038.9639737010002,176,0.03
V163,1024.3698139190674,177,0.03
V133,1010.6743343770504,178,0.03
V306,959.7054222822189,179,0.03
V266,916.4062280654907,180,0.03
V289,914.8456878662109,181,0.03
id_14,899.3377923369408,182,0.03
C10,874.2466063201427,183,0.03
V287,858.4464893341064,184,0.03
id_17,849.9703941345215,185,0.03
V164,846.3999905586243,186,0.03
id_03,845.4643993377686,187,0.03
V63,825.8346920013428,188,0.03
is_round_amount,807.5603904724121,189,0.03
V323,791.197603225708,190,0.03
V5,787.6169986724854,191,0.03
V152,772.5405950546265,192,0.03
addr2,761.7329864501953,193,0.02
D12,732.2852544784546,194,0.02
V205,711.4495010375977,195,0.02
V24,676.1916885375977,196,0.02
V72,659.6010932922363,197,0.02
V79,654.0474090576172,198,0.02
M2,645.7602081298828,199,0.02
V298,645.409008026123,200,0.02
